cik,tic,Shortname,Longname,Sector,Industry,Stock_Change%,Year,Sentiment_Score
31462.0,ECL,Ecolab Inc.,Ecolab Inc.,Basic Materials,Specialty Chemicals,-23.576433129042066,2022,-0.8583258986473083
32604.0,EMR,Emerson Electric Company,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,-2.940029951580725,2022,-0.3045884966850281
731802.0,ATO,Atmos Energy Corporation,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,20.168006585573963,2022,-0.1132629662752151
33185.0,EFX,"Equifax, Inc.",Equifax Inc.,Industrials,Consulting Services,-13.001642615140396,2022,-0.4900362193584442
33213.0,EQT,EQT Corporation,EQT Corporation,Energy,Oil & Gas E&P,93.55712022176242,2022,-0.779041051864624
746515.0,EXPD,Expeditors International of Was,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,-9.821212959419787,2022,-0.9471021294593812
34088.0,XOM,Exxon Mobil Corporation,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,66.03611925650515,2022,-0.8518365025520325
37785.0,FMC,FMC Corporation,FMC Corporation,Basic Materials,Agricultural Inputs,12.60235287163882,2022,-0.3613359332084656
753308.0,NEE,"NextEra Energy, Inc.","NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,2.557951768122879,2022,-0.2938877642154693
1048911.0,FDX,FedEx Corporation,FedEx Corporation,Industrials,Integrated Freight & Logistics,-21.518092279175427,2022,-0.8069651126861572
34903.0,FRT,Federal Realty Investment Trust,Federal Realty Investment Trust,Real Estate,REIT - Retail,-0.5670110307780307,2022,-0.6188099980354309
35527.0,FITB,Fifth Third Bancorp,Fifth Third Bancorp,Financial Services,Banks - Regional,0.4651566141970598,2022,-0.6190539002418518
1281761.0,RF,Regions Financial Corporation,Regions Financial Corporation,Financial Services,Banks - Regional,6.724636621307578,2022,-0.8980430364608765
36270.0,MTB,M&T Bank Corporation,M&T Bank Corporation,Financial Services,Banks - Regional,18.46322113623591,2022,-0.6479114294052124
36104.0,USB,U.S. Bancorp,U.S. Bancorp,Financial Services,Banks - Regional,-9.930882888054338,2022,-0.0059520937502384
37996.0,F,Ford Motor Company,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,6.444759798742972,2022,-0.8999413847923279
38777.0,BEN,"Franklin Resources, Inc.","Franklin Resources, Inc.",Financial Services,Asset Management,-10.752584847495116,2022,-0.582643985748291
354190.0,AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,22.72426442375299,2022,-0.0592505782842636
40533.0,GD,General Dynamics Corporation,General Dynamics Corporation,Industrials,Aerospace & Defense,25.667931030805093,2022,-0.1850842237472534
40545.0,GE,GE Aerospace,GE Aerospace,Industrials,Aerospace & Defense,-20.72949752313995,2022,0.0
40704.0,GIS,"General Mills, Inc.","General Mills, Inc.",Consumer Defensive,Packaged Foods,25.604146011763795,2022,0.0052392892539501
1467858.0,GM,General Motors Company,General Motors Company,Consumer Cyclical,Auto Manufacturers,-27.94024110991058,2022,-0.7244017124176025
40987.0,GPC,Genuine Parts Company,Genuine Parts Company,Consumer Cyclical,Auto Parts,23.2173192729314,2022,-0.0580512695014476
277135.0,GWW,"W.W. Grainger, Inc.","W.W. Grainger, Inc.",Industrials,Industrial Distribution,20.89761536904231,2022,-0.9316579699516296
45012.0,HAL,Halliburton Company,Halliburton Company,Energy,Oil & Gas Equipment & Services,54.47591632981159,2022,0.0
202058.0,LHX,"L3Harris Technologies, Inc.","L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,11.0454842759228,2022,-0.2460993230342865
46080.0,HAS,"Hasbro, Inc.","Hasbro, Inc.",Consumer Cyclical,Leisure,-13.880596392633892,2022,-0.2081669420003891
766704.0,WELL,Welltower Inc.,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,4.198469431955654,2022,-0.0511663295328617
1637459.0,KHC,The Kraft Heinz Company,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,4.917378395892924,2022,-0.8389710783958435
47111.0,HSY,The Hershey Company,The Hershey Company,Consumer Defensive,Confectioners,31.712124944043453,2022,-0.7099555730819702
47217.0,HPQ,HP Inc.,HP Inc.,Technology,Computer Hardware,11.742802040280242,2022,-0.9267831444740297
1585689.0,HLT,Hilton Worldwide Holdings Inc.,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,6.41640842950304,2022,-0.9002924561500549
354950.0,HD,"Home Depot, Inc. (The)","The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,-2.906564748095486,2022,0.0009559690952301
48465.0,HRL,Hormel Foods Corporation,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,7.681937577610687,2022,-0.9359923601150512
1130310.0,CNP,"CenterPoint Energy, Inc (Holdin","CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,24.15343945796675,2022,-0.0318737104535102
728535.0,JBHT,"J.B. Hunt Transport Services, I","J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,5.827803815102639,2022,-0.9203799962997437
49196.0,HBAN,Huntington Bancshares Incorpora,Huntington Bancshares Incorporated,Financial Services,Banks - Regional,-2.7195395872125605,2022,-0.776308000087738
49826.0,ITW,Illinois Tool Works Inc.,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,-4.758932788979076,2022,-0.5053139925003052
1466258.0,TT,Trane Technologies plc,Trane Technologies plc,Industrials,Building Products & Equipment,-12.447360153604524,2022,-0.8890874981880188
50863.0,INTC,Intel Corporation,Intel Corporation,Technology,Semiconductors,-28.895963280828752,2022,0.0
51143.0,IBM,International Business Machines,International Business Machines Corporation,Technology,Information Technology Services,8.795905524173087,2022,-0.8896432518959045
51253.0,IFF,International Flavors & Fragran,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,-14.955936595950703,2022,-0.6276690363883972
51434.0,IP,International Paper Company,International Paper Company,Consumer Cyclical,Packaging & Containers,-17.459460809715743,2022,-0.4265152513980865
51644.0,IPG,"Interpublic Group of Companies,","The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,0.1892961546204441,2022,-0.0295985415577888
52988.0,J,Jacobs Solutions Inc.,Jacobs Solutions Inc.,Industrials,Engineering & Construction,-2.6425479557924514,2022,-0.7934553623199463
200406.0,JNJ,Johnson & Johnson,Johnson & Johnson,Healthcare,Drug Manufacturers - General,6.949186456821588,2022,-0.7424653768539429
833444.0,JCI,Johnson Controls International ,Johnson Controls International plc,Industrials,Building Products & Equipment,-9.265096691414731,2022,-0.7019953727722168
319201.0,KLAC,KLA Corporation,KLA Corporation,Technology,Semiconductor Equipment & Materials,5.796696756987307,2022,-0.8117508292198181
1506307.0,KMI,"Kinder Morgan, Inc.","Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,14.795600615884164,2022,-0.8989067673683167
1711269.0,EVRG,"Evergy, Inc.","Evergy, Inc.",Utilities,Utilities - Regulated Electric,7.963516076968968,2022,-0.1188004165887832
55067.0,K,Kellanova,Kellanova,Consumer Defensive,Packaged Foods,15.1008881471679,2022,-0.9354772567749025
55785.0,KMB,Kimberly-Clark Corporation,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,0.3682879933044614,2022,-0.7478300333023071
56873.0,KR,Kroger Company (The),The Kroger Co.,Consumer Defensive,Grocery Stores,28.08548691213084,2022,-0.0355503112077713
707549.0,LRCX,Lam Research Corporation,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,-19.636343280072587,2022,-0.6422028541564941
920760.0,LEN,Lennar Corporation,Lennar Corporation,Consumer Cyclical,Residential Construction,-14.601057730137049,2022,-0.5835632681846619
59478.0,LLY,Eli Lilly and Company,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,38.84444663583475,2022,-0.8765705227851868
936468.0,LMT,Lockheed Martin Corporation,Lockheed Martin Corporation,Industrials,Aerospace & Defense,23.78651533225755,2022,-0.874209463596344
60086.0,L,Loews Corporation,Loews Corporation,Financial Services,Insurance - Property & Casualty,9.691273821733514,2022,-0.0833422169089317
60667.0,LOW,"Lowe's Companies, Inc.","Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,2.9510745404397687,2022,-0.0201491601765155
1070750.0,HST,"Host Hotels & Resorts, Inc.","Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,9.345646043982205,2022,-0.935203492641449
62709.0,MMC,"Marsh & McLennan Companies, Inc","Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,14.547622835590436,2022,-0.7334070801734924
62996.0,MAS,Masco Corporation,Masco Corporation,Industrials,Building Products & Equipment,-10.615268548717816,2022,-0.8243421912193298
63754.0,MKC,"McCormick & Company, Incorporat","McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,3.813355497406179,2022,-0.6337493658065796
